metric,value
Normal Mean Prob,0.07019413
Normal Median Prob,0.0027448353
Normal Std,0.16103177
MI Mean Prob,0.93005085
MI Median Prob,0.99863625
MI Std,0.19102249
High Conf MI (≥0.9),219/254 (86.2%)
High Conf Normal (≤0.1),734/883 (83.1%)
Uncertain MI (0.4-0.6),12/254 (4.7%)
Uncertain Normal (0.4-0.6),33/883 (3.7%)
TP Average Confidence,0.975991
FN Average Prob,0.28959075
FP Average Confidence,0.71564496
